5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 2 Flow (Veh/5 Minutes),Flow (Veh/5 Minutes),# Lane Points,% Observed
11/05/2018 15:20,52,0,52,2,50
11/05/2018 15:25,41,0,41,2,50
11/05/2018 15:30,49,0,49,2,50
11/05/2018 15:35,49,0,49,2,50
11/05/2018 15:40,54,0,54,2,50
11/05/2018 15:45,73,0,73,2,50
11/05/2018 15:50,71,0,71,2,50
11/05/2018 15:55,75,0,75,2,50
11/05/2018 16:00,77,0,77,2,50
11/05/2018 16:05,86,0,86,2,50
11/05/2018 16:10,82,0,82,2,50
11/05/2018 16:15,76,0,76,2,50
11/05/2018 16:20,94,0,94,2,50
11/05/2018 16:25,89,0,89,2,50
11/05/2018 16:30,76,0,76,2,50
11/05/2018 16:35,93,0,93,2,50
11/05/2018 16:40,86,0,86,2,50
11/05/2018 16:45,90,0,90,2,50
11/05/2018 16:50,95,0,95,2,50
11/05/2018 16:55,85,0,85,2,50
11/05/2018 17:00,86,0,86,2,50
11/05/2018 17:05,88,0,88,2,50
11/05/2018 17:10,97,0,97,2,50
11/05/2018 17:15,68,0,68,2,50
11/05/2018 17:20,69,0,69,2,50
11/05/2018 17:25,64,0,64,2,50
11/05/2018 17:30,64,0,64,2,50
11/05/2018 17:35,61,0,61,2,50
11/05/2018 17:40,61,0,61,2,50
11/05/2018 17:45,59,0,59,2,50
11/05/2018 17:50,68,0,68,2,50
11/05/2018 17:55,58,0,58,2,50
11/05/2018 18:00,47,0,47,2,50
11/05/2018 18:05,43,0,43,2,50
11/05/2018 18:10,39,0,39,2,50
11/05/2018 18:15,40,0,40,2,50
11/05/2018 18:20,37,0,37,2,50
11/05/2018 18:25,45,0,45,2,50
11/05/2018 18:30,46,0,46,2,50
11/05/2018 18:35,22,0,22,2,50
11/05/2018 18:40,38,0,38,2,50
11/05/2018 18:45,31,0,31,2,50
11/05/2018 18:50,21,0,21,2,50
11/05/2018 18:55,20,0,20,2,50
11/05/2018 19:00,30,0,30,2,50
11/05/2018 19:05,20,0,20,2,50
11/05/2018 19:10,21,0,21,2,50
11/05/2018 19:15,21,0,21,2,50
11/05/2018 19:20,22,0,22,2,50
11/05/2018 19:25,19,0,19,2,50
11/05/2018 19:30,17,0,17,2,50
11/05/2018 19:35,19,0,19,2,50
11/05/2018 19:40,14,0,14,2,50
11/05/2018 19:45,23,0,23,2,50
11/05/2018 19:50,13,0,13,2,50
11/05/2018 19:55,14,0,14,2,50
11/05/2018 20:00,17,0,17,2,50
11/05/2018 20:05,13,0,13,2,50
11/05/2018 20:10,17,0,17,2,50
11/05/2018 20:15,5,0,5,2,50
11/05/2018 20:20,11,0,11,2,50
11/05/2018 20:25,16,0,16,2,50
11/05/2018 20:30,9,0,9,2,50
11/05/2018 20:35,11,0,11,2,50
11/05/2018 20:40,9,0,9,2,50
11/05/2018 20:45,13,0,13,2,50
11/05/2018 20:50,14,0,14,2,50
11/05/2018 20:55,12,0,12,2,50
11/06/2018 15:00,47,0,47,2,50
11/06/2018 15:05,55,0,55,2,50
11/06/2018 15:10,52,0,52,2,50
11/06/2018 15:15,81,0,81,2,50
11/06/2018 15:20,90,0,90,2,50
11/06/2018 15:25,98,0,98,2,50
11/06/2018 15:30,72,0,72,2,50
11/06/2018 15:35,68,0,68,2,50
11/06/2018 15:40,73,0,73,2,50
11/06/2018 15:45,66,0,66,2,50
11/06/2018 15:50,76,0,76,2,50
11/06/2018 15:55,88,0,88,2,50
11/06/2018 16:00,80,0,80,2,50
11/06/2018 16:05,77,0,77,2,50
11/06/2018 16:10,87,0,87,2,50
11/06/2018 16:15,93,0,93,2,50
11/06/2018 16:20,73,0,73,2,50
11/06/2018 16:25,84,0,84,2,50
11/06/2018 16:30,102,0,102,2,50
11/06/2018 16:35,98,0,98,2,50
11/06/2018 16:40,91,0,91,2,50
11/06/2018 16:45,72,0,72,2,50
11/06/2018 16:50,85,0,85,2,50
11/06/2018 16:55,72,0,72,2,50
11/06/2018 17:00,90,0,90,2,50
11/06/2018 17:05,95,0,95,2,50
11/06/2018 17:10,91,0,91,2,50
11/06/2018 17:15,76,0,76,2,50
11/06/2018 17:20,74,0,74,2,50
11/06/2018 17:25,70,0,70,2,50
11/06/2018 17:30,50,0,50,2,50
11/06/2018 17:35,77,0,77,2,50
11/06/2018 17:40,67,0,67,2,50
11/06/2018 17:45,74,0,74,2,50
11/06/2018 17:50,55,0,55,2,50
11/06/2018 17:55,67,0,67,2,50
11/06/2018 18:00,65,0,65,2,50
11/06/2018 18:05,54,0,54,2,50
11/06/2018 18:10,60,0,60,2,50
11/06/2018 18:15,42,0,42,2,50
11/06/2018 18:20,48,0,48,2,50
11/06/2018 18:25,45,0,45,2,50
11/06/2018 18:30,49,0,49,2,50
11/06/2018 18:35,40,0,40,2,50
11/06/2018 18:40,30,0,30,2,50
11/06/2018 18:45,35,0,35,2,50
11/06/2018 18:50,24,0,24,2,50
11/06/2018 18:55,22,0,22,2,50
11/06/2018 19:00,35,0,35,2,50
11/06/2018 19:05,33,0,33,2,50
11/06/2018 19:10,26,0,26,2,50
11/06/2018 19:15,15,0,15,2,50
11/06/2018 19:20,23,0,23,2,50
11/06/2018 19:25,25,0,25,2,50
11/06/2018 19:30,19,0,19,2,50
11/06/2018 19:35,21,0,21,2,50
11/06/2018 19:40,22,0,22,2,50
11/06/2018 19:45,23,0,23,2,50
11/06/2018 19:50,15,0,15,2,50
11/06/2018 19:55,17,0,17,2,50
11/06/2018 20:00,12,0,12,2,50
11/06/2018 20:05,15,0,15,2,50
11/06/2018 20:10,23,0,23,2,50
11/06/2018 20:15,7,0,7,2,50
11/06/2018 20:20,16,0,16,2,50
11/06/2018 20:25,7,0,7,2,50
11/06/2018 20:30,6,0,6,2,50
11/06/2018 20:35,11,0,11,2,50
11/06/2018 20:40,8,0,8,2,50
11/06/2018 20:45,11,0,11,2,50
11/06/2018 20:50,18,0,18,2,50
11/06/2018 20:55,17,0,17,2,50
11/07/2018 15:00,47,0,47,2,50
11/07/2018 15:05,60,0,60,2,50
11/07/2018 15:10,40,0,40,2,50
11/07/2018 15:15,54,0,54,2,50
11/07/2018 15:20,39,0,39,2,50
11/07/2018 15:25,49,0,49,2,50
11/07/2018 15:30,53,0,53,2,50
11/07/2018 15:35,42,0,42,2,50
11/07/2018 15:40,61,0,61,2,50
11/07/2018 15:45,63,0,63,2,50
11/07/2018 15:50,69,0,69,2,50
11/07/2018 15:55,71,0,71,2,50
11/07/2018 16:00,97,0,97,2,50
11/07/2018 16:05,96,0,96,2,50
11/07/2018 16:10,71,0,71,2,50
11/07/2018 16:15,77,0,77,2,50
11/07/2018 16:20,84,0,84,2,50
11/07/2018 16:25,72,0,72,2,50
11/07/2018 16:30,86,0,86,2,50
11/07/2018 16:35,68,0,68,2,50
11/07/2018 16:40,65,0,65,2,50
11/07/2018 16:45,82,0,82,2,50
11/07/2018 16:50,72,0,72,2,50
11/07/2018 16:55,62,0,62,2,50
11/07/2018 17:00,72,0,72,2,50
11/07/2018 17:05,84,0,84,2,50
11/07/2018 17:10,92,0,92,2,50
11/07/2018 17:15,84,0,84,2,50
11/07/2018 17:20,86,0,86,2,50
11/07/2018 17:25,65,0,65,2,50
11/07/2018 17:30,76,0,76,2,50
11/07/2018 17:35,83,0,83,2,50
11/07/2018 17:40,65,0,65,2,50
11/07/2018 17:45,55,0,55,2,50
11/07/2018 17:50,71,0,71,2,50
11/07/2018 17:55,56,0,56,2,50
11/07/2018 18:00,55,0,55,2,50
11/07/2018 18:05,59,0,59,2,50
11/07/2018 18:10,41,0,41,2,50
11/07/2018 18:15,55,0,55,2,50
11/07/2018 18:20,38,0,38,2,50
11/07/2018 18:25,33,0,33,2,50
11/07/2018 18:30,49,0,49,2,50
11/07/2018 18:35,40,0,40,2,50
11/07/2018 18:40,30,0,30,2,50
11/07/2018 18:45,31,0,31,2,50
11/07/2018 18:50,24,0,24,2,50
11/07/2018 18:55,35,0,35,2,50
11/07/2018 19:00,25,0,25,2,50
11/07/2018 19:05,31,0,31,2,50
11/07/2018 19:10,23,0,23,2,50
11/07/2018 19:15,25,0,25,2,50
11/07/2018 19:20,27,0,27,2,50
11/07/2018 19:25,18,0,18,2,50
11/07/2018 19:30,21,0,21,2,50
11/07/2018 19:35,20,0,20,2,50
11/07/2018 19:40,20,0,20,2,50
11/07/2018 19:45,23,0,23,2,50
11/07/2018 19:50,26,0,26,2,50
11/07/2018 19:55,17,0,17,2,50
11/07/2018 20:00,17,0,17,2,50
11/07/2018 20:05,12,0,12,2,50
11/07/2018 20:10,17,0,17,2,50
11/07/2018 20:15,13,0,13,2,50
11/07/2018 20:20,26,0,26,2,50
11/07/2018 20:25,12,0,12,2,50
11/07/2018 20:30,10,0,10,2,50
11/07/2018 20:35,18,0,18,2,50
11/07/2018 20:40,14,0,14,2,50
11/07/2018 20:45,10,0,10,2,50
11/07/2018 20:50,17,0,17,2,50
11/07/2018 20:55,9,0,9,2,50
8/30/2018 15:00,88,0,88,2,50
8/30/2018 15:05,88,0,88,2,50
8/30/2018 15:10,76,0,76,2,50
8/30/2018 15:15,80,0,80,2,50
8/30/2018 15:20,97,0,97,2,50
8/30/2018 15:25,98,0,98,2,50
8/30/2018 15:30,75,0,75,2,50
8/30/2018 15:35,100,0,100,2,50
8/30/2018 15:40,99,0,99,2,50
8/30/2018 15:45,103,0,103,2,50
8/30/2018 15:50,94,0,94,2,50
8/30/2018 15:55,113,0,113,2,50
8/30/2018 16:00,112,0,112,2,50
8/30/2018 16:05,107,0,107,2,50
8/30/2018 16:10,82,0,82,2,50
8/30/2018 16:15,65,0,65,2,50
8/30/2018 16:20,85,0,85,2,50
8/30/2018 16:25,98,0,98,2,50
8/30/2018 16:30,90,0,90,2,50
8/30/2018 16:35,105,0,105,2,50
8/30/2018 16:40,94,0,94,2,50
8/30/2018 16:45,100,0,100,2,50
8/30/2018 16:50,102,0,102,2,50
8/30/2018 16:55,73,0,73,2,50
8/30/2018 17:00,84,0,84,2,50
8/30/2018 17:05,83,0,83,2,50
8/30/2018 17:10,87,0,87,2,50
8/30/2018 17:15,95,0,95,2,50
8/30/2018 17:20,95,0,95,2,50
8/30/2018 17:25,88,0,88,2,50
8/30/2018 17:30,99,0,99,2,50
8/30/2018 17:35,100,0,100,2,50
8/30/2018 17:40,94,0,94,2,50
8/30/2018 17:45,88,0,88,2,50
8/30/2018 17:50,59,0,59,2,50
8/30/2018 17:55,54,0,54,2,50
8/30/2018 18:00,62,0,62,2,50
8/30/2018 18:05,49,0,49,2,50
8/30/2018 18:10,57,0,57,2,50
8/30/2018 18:15,56,0,56,2,50
8/30/2018 18:20,53,0,53,2,50
8/30/2018 18:25,56,0,56,2,50
8/30/2018 18:30,48,0,48,2,50
8/30/2018 18:35,52,0,52,2,50
8/30/2018 18:40,39,0,39,2,50
8/30/2018 18:45,38,0,38,2,50
8/30/2018 18:50,31,0,31,2,50
8/30/2018 18:55,34,0,34,2,50
8/30/2018 19:00,27,0,27,2,50
8/30/2018 19:05,32,0,32,2,50
8/30/2018 19:10,28,0,28,2,50
8/30/2018 19:15,22,0,22,2,50
8/30/2018 19:20,17,0,17,2,50
8/30/2018 19:25,28,0,28,2,50
8/30/2018 19:30,30,0,30,2,50
8/30/2018 19:35,21,0,21,2,50
8/30/2018 19:40,18,0,18,2,50
8/30/2018 19:45,18,0,18,2,50
8/30/2018 19:50,20,0,20,2,50
8/30/2018 19:55,22,0,22,2,50
8/30/2018 20:00,20,0,20,2,50
8/30/2018 20:05,19,0,19,2,50
8/30/2018 20:10,16,0,16,2,50
8/30/2018 20:15,15,0,15,2,50
8/30/2018 20:20,27,0,27,2,50
8/30/2018 20:25,18,0,18,2,50
8/30/2018 20:30,13,0,13,2,50
8/30/2018 20:35,17,0,17,2,50
8/30/2018 20:40,14,0,14,2,50
8/30/2018 20:45,17,0,17,2,50
